time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1567296000,91,277,130,153.7186999999999,-36.88909999999999,116.75199999999992,582,1953,603,1138.3832999999995,-230.05120000000005,907.7519,ETH,172.18,171.34,175.83,171.14,1,3,0.30787761904761907
1567382400,154,362,232,203.4317,-67.60489999999999,135.86859999999987,1048,2393,1238,1311.7361,-496.3922999999997,815.6910999999997,ETH,171.34,178.77,183.34,178.25,1,1,0.3359
1567468800,256,521,316,293.29160000000013,-114.20459999999984,179.15910000000005,1400,2775,1495,1552.1575999999998,-604.4059999999997,947.8307999999994,ETH,178.77,179.03,183.71,177.65,-1,3,0.326870101010101
1567555200,201,423,264,239.6052,-94.11669999999998,145.5387999999998,1203,2251,1261,1353.5148999999985,-586.0185000000008,768.7894999999994,ETH,179.03,174.97,179.74,173.91,-1,2,0.1716142857142857
1567641600,416,732,418,397.7969999999994,-211.92119999999986,186.02970000000016,1945,3418,1831,1861.5771999999995,-941.8389000000012,919.993500000002,ETH,174.97,173.65,175.02,171.01,-1,4,0.16315959595959595
1567728000,253,509,312,286.8205000000001,-122.0947,164.67600000000024,1021,2129,1263,1259.047799999998,-488.3876000000001,770.3162000000003,ETH,173.65,169.08,170.22,166.51,1,3,-0.21771805555555557
1567814400,175,340,223,189.1993,-83.05309999999997,106.0584999999998,781,1584,1119,931.4134,-342.95929999999987,588.0006000000002,ETH,169.08,178.15,180.15,171.02,1,4,0.10378928571428574
1567900800,109,278,149,155.6397999999999,-51.76249999999999,103.88399999999993,544,1818,692,1011.621700000001,-253.0832,758.5070000000011,ETH,178.15,181.74,182.68,176.95,-1,1,0.2736142857142857
1567987200,148,458,205,260.35880000000003,-64.37929999999997,195.92919999999992,921,2926,1347,1760.7770999999984,-385.3283000000001,1375.5721,ETH,181.74,180.72,183.09,177.93,-1,2,-0.1035958333333333
1568073600,172,396,266,215.89370000000008,-72.87000000000002,142.98909999999984,754,2318,1375,1289.191799999999,-317.4990999999996,970.0337999999997,ETH,180.72,179.95,180.25,177.02,-1,0,0.0
1568160000,168,431,213,256.1507,-78.06390000000002,178.1505999999999,873,2275,1170,1414.5715,-398.8945,1016.2190000000003,ETH,179.95,178.29,184.7,177.48,1,1,-0.23450000000000001
1568246400,208,499,297,293.13920000000013,-98.45929999999987,194.731,1300,2855,1515,1768.4714,-584.9560000000002,1183.688,ETH,178.29,181.05,184.18,180.84,1,1,0.003950000000000009
1568332800,148,410,263,233.0385000000001,-62.81569999999999,170.3261000000002,771,2240,1327,1305.1498000000008,-339.5625,966.3637,ETH,181.05,181.52,183.07,179.44,1,0,0.0
1568419200,139,322,210,183.82150000000007,-65.23319999999998,118.57689999999987,814,1917,1271,1110.6647000000003,-371.62029999999993,739.5974999999994,ETH,181.52,188.65,188.96,180.78,1,0,0.0
1568505600,172,357,210,200.75230000000008,-83.79360000000001,116.99629999999998,1030,2451,1367,1432.4381999999978,-488.0065999999998,945.6928999999997,ETH,188.65,189.24,190.07,186.15,1,3,-0.1664263888888889
1568592000,245,572,437,305.3098000000004,-102.62759999999987,202.83440000000016,1577,4296,3265,2382.117899999998,-615.3493999999997,1768.8609000000006,ETH,189.24,197.63,200.92,188.49,1,3,0.38995396825396833
1568678400,365,856,645,463.2481999999997,-154.7460999999999,308.4952000000001,2538,5319,3853,2841.700899999999,-1060.8328000000013,1782.1170999999988,ETH,197.63,207.85,213.97,195.61,1,2,0.25461594827586204
1568764800,210,640,470,353.9245999999998,-90.87690000000003,263.33049999999986,1252,4349,3011,2464.9488,-552.9098999999997,1913.7342999999955,ETH,207.85,210.38,215.97,207.13,1,1,0.33767058823529406
1568851200,285,830,534,468.60189999999983,-122.94289999999992,345.85470000000015,1694,5233,3175,3151.044399999999,-728.2960000000003,2422.921999999999,ETH,210.38,221.04,228.14,208.6,-1,0,0.0
1568937600,223,516,274,298.10309999999964,-104.9492,193.21660000000026,1125,3461,1549,2157.1671999999967,-527.3913999999995,1629.8147999999976,ETH,221.04,218.18,219.2,214.93,-1,0,0.0
1569024000,187,422,218,223.38080000000008,-85.74149999999996,137.77429999999995,1004,2320,1067,1311.8873999999992,-477.9990999999998,834.1274999999994,ETH,218.18,215.25,217.55,213.85,-1,0,0.0
1569110400,122,294,186,175.69710000000012,-56.15879999999999,119.39329999999997,653,1574,970,1025.1538999999998,-296.1446,728.5306999999997,ETH,215.25,211.28,216.5,207.16,-1,0,0.0
1569196800,213,439,332,236.14330000000007,-95.29499999999996,140.96390000000005,1262,2621,1689,1453.2826000000002,-566.7813000000008,886.2307999999988,ETH,211.28,200.97,206.69,199.32,-1,0,0.0
1569283200,447,769,582,401.6784999999997,-203.11010000000007,198.53280000000007,2569,4264,3296,2222.272199999999,-1217.3203000000005,1005.321499999998,ETH,200.97,166.66,177.43,162.05,1,1,-0.3454714285714285
1569369600,291,579,358,318.97630000000026,-131.40699999999984,187.5621,1473,2900,1837,1638.4486000000018,-661.5345000000005,976.6972999999988,ETH,166.66,170.38,172.32,163.96,-1,2,-0.10745769230769232
1569456000,318,569,392,318.4332000000004,-143.786,174.67250000000018,1812,2955,2118,1665.8290999999988,-852.0239000000005,813.7097000000003,ETH,170.38,166.1,166.26,159.32,1,0,0.0
1569542400,218,473,325,245.78270000000032,-98.83399999999992,146.91190000000014,1102,2496,1755,1348.311400000001,-473.8861000000004,873.7850000000009,ETH,166.1,174.28,176.74,167.8,-1,2,-0.2735636363636364
1569628800,111,240,145,131.74519999999995,-52.95249999999999,78.80979999999988,529,1284,760,710.3815999999997,-252.266,458.16760000000005,ETH,174.28,173.93,176.32,172.53,-1,3,0.4773343434343434
1569715200,81,205,128,112.18829999999996,-31.8797,80.37309999999997,482,1258,590,688.0785000000009,-194.95920000000007,493.4030999999995,ETH,173.93,169.69,171.14,167.35,1,2,-0.17804261083743841
1569801600,123,333,224,185.3635,-54.788899999999984,130.56629999999984,630,1819,1212,1067.0057999999997,-271.8851,794.0871999999997,ETH,169.69,181.34,181.34,174.77,-1,2,-0.13190833333333335
1569888000,180,380,243,211.98860000000008,-88.79950000000002,123.2467999999998,1311,2437,1762,1326.1284000000014,-678.2812999999999,652.2205000000006,ETH,181.34,176.44,183.77,175.19,1,5,-0.11432444444444442
1569974400,115,348,187,200.14550000000025,-47.68380000000002,152.46180000000018,624,2105,905,1238.0788000000011,-266.1358000000001,971.7400000000006,ETH,176.44,181.09,182.01,177.06,-1,2,0.005257142857142835
1570060800,160,310,208,174.85050000000007,-76.64870000000003,98.24629999999986,1169,1769,1316,1041.7348000000013,-569.8426999999998,472.78670000000005,ETH,181.09,175.15,177.96,173.5,1,1,-0.06895000000000003
1570147200,148,333,241,190.80050000000008,-69.3282,121.43589999999986,813,2004,1173,1177.0801000000004,-392.96019999999993,784.1737000000012,ETH,175.15,176.1,177.82,173.41,1,2,0.14923999999999998
1570233600,95,221,176,123.9576999999999,-43.83620000000001,80.3026,582,1270,714,721.3533000000006,-289.7687999999999,432.4830000000003,ETH,176.1,177.1,178.08,174.97,-1,2,-0.048545714285714275
1570320000,117,232,168,129.03149999999988,-49.47650000000001,79.54619999999997,696,1469,737,873.5116000000003,-296.07740000000007,578.1545000000002,ETH,177.1,170.35,172.71,168.7,1,0,0.0
1570406400,109,328,226,182.2806,-45.82480000000002,136.32790000000006,674,1786,1258,1017.9481000000003,-304.4067999999998,713.3813000000005,ETH,170.35,180.4,181.31,177.53,1,5,0.10337785714285715
1570492800,126,358,222,206.28470000000016,-54.893,151.3555999999999,691,2525,1363,1547.6079999999995,-308.8265000000002,1238.4677999999992,ETH,180.4,181.04,182.6,178.66,1,4,0.06181619047619048
1570579200,185,519,360,302.2835000000002,-84.71479999999994,217.6071,1413,3436,2145,2068.9005999999977,-657.8995000000008,1411.991,ETH,181.04,193.43,197.56,189.48,-1,5,0.1457063492063492
1570665600,183,418,315,224.75460000000027,-81.06899999999995,143.56689999999992,1471,2807,2171,1580.423199999998,-626.6471000000006,953.4182999999988,ETH,193.43,191.96,194.54,183.62,-1,2,0.38092499999999996
1570752000,188,432,301,240.9139,-87.28939999999996,153.7401,1089,2433,1796,1428.246900000003,-498.4379000000003,930.0696000000003,ETH,191.96,180.88,187.5,178.97,-1,4,0.12280312499999999
1570838400,97,228,194,127.91999999999993,-40.5085,87.40449999999998,752,1221,911,689.6836000000006,-306.7259,383.6258999999996,ETH,180.88,180.06,183.72,178.39,1,2,0.060261363636363655
1570924800,60,173,138,90.77389999999995,-24.166,66.682,348,1149,854,601.0183,-133.45370000000003,467.62320000000017,ETH,180.06,181.52,182.44,179.12,1,5,0.24610689244663386
1571011200,118,323,198,187.3295,-57.33849999999998,130.06079999999994,784,2165,1111,1252.0821,-375.9402999999999,876.0487000000006,ETH,181.52,187.1,188.02,182.84,-1,1,0.15156666666666663
1571097600,126,376,189,221.1360000000003,-55.03229999999997,166.1615000000001,715,2462,922,1554.0782000000015,-330.44810000000007,1223.880900000001,ETH,187.1,180.72,183.74,178.84,-1,3,0.2051494444444444
1571184000,184,426,264,231.5151,-83.79919999999997,147.72639999999978,938,2555,1448,1469.1634000000006,-426.79419999999936,1042.821100000001,ETH,180.72,174.95,177.68,174.23,1,1,-0.29695
1571270400,148,402,211,227.17200000000008,-66.80939999999998,160.4077999999999,778,2102,1059,1238.2138999999995,-359.6607,879.1012000000007,ETH,174.95,177.41,178.22,175.87,-1,4,0.2784623611111111
1571356800,121,280,154,162.5888999999999,-53.481000000000016,109.09150000000002,669,1615,758,1013.378600000001,-328.2300999999996,685.7537999999997,ETH,177.41,173.4,175.72,171.73,-1,2,0.04522222222222222
1571443200,110,270,161,156.8265,-51.1756,105.69879999999998,544,1278,651,760.1349,-260.5597999999998,499.6513999999996,ETH,173.4,172.31,174.94,170.8,1,2,0.26012222222222225
1571529600,85,263,193,146.7342999999999,-41.7893,104.95459999999987,482,1660,1238,944.3742999999997,-260.2631999999999,684.1276999999994,ETH,172.31,175.83,178.88,175.01,-1,1,0.29624999999999996
1571616000,235,503,289,303.7178999999998,-105.78379999999996,197.99899999999985,1266,2647,1276,1568.8655000000024,-554.2221000000002,1015.9644000000008,ETH,175.83,174.33,176.55,173.02,-1,2,-0.05431376811594202
1571702400,220,446,251,252.7641,-101.03059999999994,151.95059999999984,1185,2502,1525,1366.968000000002,-559.3157999999999,808.4962000000003,ETH,174.33,171.38,179.33,168.16,-1,2,0.08594222222222223
1571788800,300,641,360,356.07080000000013,-137.1667,218.9841000000003,1738,3658,1955,2045.9485,-809.4335999999997,1237.3350000000012,ETH,171.38,162.53,162.61,155.35,-1,1,-0.14513333333333328
1571875200,182,482,258,273.33410000000026,-86.46549999999996,186.89380000000008,1051,2641,1211,1504.8074000000015,-488.50629999999984,1016.7159000000003,ETH,162.53,161.02,162.51,159.9,1,1,0.38117999999999996
1571961600,221,489,338,270.73450000000014,-101.56729999999986,169.02660000000014,1283,2862,2068,1598.6167999999966,-585.8256999999996,1012.2897000000003,ETH,161.02,181.66,190.24,180.45,-1,2,-0.13213999999999998
1572048000,230,511,328,270.97380000000027,-102.77259999999997,168.25110000000012,1326,2743,1778,1503.7871999999993,-594.7567999999994,908.8124000000003,ETH,181.66,179.9,194.72,175.55,1,2,0.18288327586206898
1572134400,118,240,190,126.20299999999996,-56.7434,69.43109999999996,593,1168,991,653.9986999999996,-274.8013,378.6305,ETH,179.9,184.23,187.1,182.51,-1,3,0.2764802083333333
1572220800,145,280,195,154.16869999999992,-67.18909999999994,86.93319999999989,893,1698,1148,938.9444999999997,-396.7679999999997,542.0244999999996,ETH,184.23,182.14,182.32,175.13,1,2,-0.2337875
