time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1567296000,429,629,369,333.3791999999998,-205.67930000000007,127.6766,2653,3046,1607,1625.0411000000015,-1270.5492999999976,354.39069999999947,BTC,9624.54,9768.36,9823.53,9578.66,1
1567382400,928,1486,904,781.6021000000007,-443.3708,338.5524999999999,4085,7130,3908,3786.6293999999934,-1961.705799999998,1827.0461999999984,BTC,9768.36,10387.5,10459.0,9764.76,1
1567468800,826,1560,925,825.4223000000011,-402.2992999999994,423.28429999999986,3840,7066,4231,3753.2901999999763,-1890.7329000000016,1863.6395999999972,BTC,10387.5,10625.1,10773.27,10296.3,-1
1567555200,785,1406,816,777.4599000000034,-374.9933999999996,402.5432000000001,3766,6147,3334,3435.427399999984,-1865.0414000000014,1570.7673000000054,BTC,10625.1,10585.2,10827.14,10392.88,-1
1567641600,808,1424,832,767.521600000002,-398.11539999999985,369.5765000000004,3536,6599,3641,3638.7343999999957,-1771.7985000000012,1867.838599999994,BTC,10585.2,10556.16,10659.6,10475.88,-1
1567728000,865,1455,992,794.4138000000023,-427.9772999999994,366.55649999999986,4109,6532,4576,3513.475199999981,-2037.0858,1476.3432000000016,BTC,10556.16,10309.91,10938.39,10228.17,1
1567814400,601,1155,660,632.9566000000004,-284.51439999999974,348.43910000000045,2387,4918,2795,2754.72819999999,-1134.6359999999988,1619.9790999999955,BTC,10309.91,10491.96,10574.99,10304.22,-1
1567900800,781,1236,765,662.8283999999999,-385.00549999999987,277.8639000000007,3731,6005,3339,3116.199399999997,-1936.1266000000005,1178.1804999999977,BTC,10491.96,10420.88,10595.71,10286.85,-1
1567987200,912,1451,877,798.8910000000017,-478.65749999999963,320.12449999999933,3898,6077,3916,3408.887799999987,-2071.876099999999,1338.127699999997,BTC,10420.88,10314.88,10514.59,10101.87,-1
1568073600,873,1369,910,764.6952000000006,-441.6145999999996,323.0922999999999,4534,6584,4420,3653.631499999991,-2370.938999999996,1282.6829999999961,BTC,10314.88,10109.46,10395.1,9966.94,1
1568160000,771,1373,783,756.3725999999994,-368.27809999999977,387.94300000000015,4564,6024,3972,3313.2724999999823,-2268.6721999999977,1043.2968000000042,BTC,10109.46,10165.01,10251.97,9874.13,1
1568246400,723,1268,797,694.6203999999997,-336.7341999999998,357.82330000000013,3850,5713,3493,3090.4678999999983,-1862.6616999999987,1227.2942999999998,BTC,10165.01,10428.96,10472.07,10057.09,-1
1568332800,837,1314,863,714.2443000000003,-428.7846,285.6971999999998,3657,6097,4701,3297.234899999985,-1901.8531999999989,1396.355499999994,BTC,10428.96,10372.29,10591.45,9855.34,-1
1568419200,662,1027,649,553.2500999999997,-324.6258999999997,228.9680000000003,2811,4261,2948,2307.7013999999967,-1421.3418000000015,881.7719999999989,BTC,10372.29,10365.56,10455.38,10251.96,-1
1568505600,501,867,535,473.24559999999985,-234.91839999999985,238.3683000000006,1827,3718,2275,1979.2111,-902.8131000000003,1077.4001000000003,BTC,10365.56,10313.02,10401.53,10279.58,-1
1568592000,574,1112,717,585.4765000000008,-261.7264999999998,323.88580000000087,3026,5169,3240,2690.810999999985,-1430.528600000004,1261.7850999999969,BTC,10313.02,10271.79,10411.06,10103.87,-1
1568678400,863,1371,783,748.5381000000001,-401.2909999999995,347.5353000000007,4949,6607,3396,3716.090099999993,-2281.2038,1438.7300999999914,BTC,10271.79,10198.62,10297.99,10152.47,-1
1568764800,887,1397,774,765.5094000000012,-433.69599999999946,332.10930000000013,3751,6675,3606,3834.9417999999955,-1837.1652,1997.9172999999985,BTC,10198.62,10163.38,10272.19,10100.9,1
