time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low
1570579200,766,1294,982,691.8175,-352.00079999999997,339.6262000000006,3725,5848,4615,3115.60599999999,-1492.7692000000006,1622.4993999999986,BTC,8191.87,8593.16,8697.56,8132.74
1570665600,528,1016,723,566.4823999999995,-249.21700000000007,317.7339000000003,2139,4136,2814,2300.850999999996,-984.2676000000008,1318.6624000000013,BTC,8593.16,8596.57,8672.58,8466.13
1570752000,700,1299,663,704.5956000000017,-344.31349999999986,360.48299999999995,2683,5793,3167,3167.490399999994,-1310.2975999999992,1851.173500000002,BTC,8596.57,8278.05,8834.11,8259.77
1570838400,536,998,609,551.1214999999996,-258.5857999999999,292.4277999999999,1929,3822,2160,2134.9913999999994,-951.4694999999999,1183.7881000000011,BTC,8278.05,8316.66,8439.44,8272.12
1570924800,542,1048,542,578.9792999999997,-261.8608999999998,317.0615000000004,2422,4782,1953,2678.4780999999903,-1250.4720999999997,1427.5542999999977,BTC,8316.66,8296.34,8498.59,8194.16
1571011200,647,1120,738,610.0281999999995,-309.37859999999966,300.7987000000002,2781,4782,3871,2534.459499999996,-1238.2569000000021,1296.2847999999958,BTC,8296.34,8363.94,8414.24,8228.06
1571097600,675,1191,793,652.5758000000013,-321.2860000000002,331.0905999999995,2719,4364,3201,2427.5000999999997,-1243.4010000000005,1182.9452999999985,BTC,8363.94,8173.48,8439.31,8116.92
1571184000,742,1237,850,685.3505999999988,-363.7798,321.74340000000046,2994,4771,3235,2559.6366000000003,-1507.7251999999971,1052.2385999999983,BTC,8173.48,8014.39,8193.41,7945.77
1571270400,614,1090,700,602.5907000000008,-291.38059999999984,311.26319999999987,2701,4009,2897,2236.7130000000025,-1308.1574000000026,928.696799999999,BTC,8014.39,8082.46,8145.5,7948.95
1571356800,740,1215,797,667.0199,-364.8189,302.28960000000006,3762,4861,3161,2697.7022999999963,-2091.681800000005,607.3241999999981,BTC,8082.46,7972.62,8157.36,7850.66
1571443200,440,815,604,438.92869999999954,-206.6373,232.5682,3530,3072,3285,1566.1182999999976,-1412.2460999999976,154.77460000000033,BTC,7972.62,7973.63,8108.69,7919.05
1571529600,531,964,633,523.4780999999996,-244.68189999999984,278.59160000000014,2523,4603,3002,2523.537999999999,-1101.1405,1421.9124999999992,BTC,7973.63,8247.25,8326.13,7911.49
1571616000,803,1122,777,593.5280000000001,-393.1229999999996,200.79720000000054,3305,4871,3554,2596.2739999999976,-1692.8198999999993,904.3928999999973,BTC,8247.25,8223.25,8359.52,8177.11
1571702400,679,1188,669,662.7015000000004,-320.1226,342.62810000000013,3079,4773,2629,2658.7683999999886,-1393.952,1265.463600000003,BTC,8223.25,8034.5,8318.41,8021.36
1571788800,1236,1867,1284,993.5359000000026,-605.8584999999998,387.3531,6477,8418,6176,4500.420700000004,-3134.666300000006,1364.1865000000014,BTC,8034.5,7479.54,8071.8,7336.06
