,time,neg_ns,pos_ns,neutral_ns,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,submissions
0,1567296000,429,629,369,127.6766,2653,3046,1607,354.39069999999947,BTC,9624.54,9768.36,9823.53,9578.66,177
1,1567382400,928,1486,904,338.5524999999999,4085,7130,3908,1827.0461999999984,BTC,9768.36,10387.5,10459.0,9764.76,314
2,1567468800,826,1560,925,423.28429999999986,3840,7066,4231,1863.6395999999972,BTC,10387.5,10625.1,10773.27,10296.3,345
3,1567555200,785,1406,816,402.5432000000001,3766,6147,3334,1570.7673000000054,BTC,10625.1,10585.2,10827.14,10392.88,339
4,1567641600,808,1424,832,369.5765000000004,3536,6599,3641,1867.838599999994,BTC,10585.2,10556.16,10659.6,10475.88,309
5,1567728000,865,1455,992,366.55649999999986,4109,6532,4576,1476.3432000000016,BTC,10556.16,10309.91,10938.39,10228.17,304
6,1567814400,601,1155,660,348.43910000000045,2387,4918,2795,1619.9790999999955,BTC,10309.91,10491.96,10574.99,10304.22,217
7,1567900800,781,1236,765,277.8639000000007,3731,6005,3339,1178.1804999999977,BTC,10491.96,10420.88,10595.71,10286.85,223
8,1567987200,912,1451,877,320.12449999999933,3898,6077,3916,1338.127699999997,BTC,10420.88,10314.88,10514.59,10101.87,302
9,1568073600,873,1369,910,323.0922999999999,4534,6584,4420,1282.6829999999961,BTC,10314.88,10109.46,10395.1,9966.94,329
10,1568160000,771,1373,783,387.94300000000015,4564,6024,3972,1043.2968000000042,BTC,10109.46,10165.01,10251.97,9874.13,276
11,1568246400,723,1268,797,357.82330000000013,3850,5713,3493,1227.2942999999998,BTC,10165.01,10428.96,10472.07,10057.09,294
12,1568332800,837,1314,863,285.6971999999998,3657,6097,4701,1396.355499999994,BTC,10428.96,10372.29,10591.45,9855.34,286
13,1568419200,662,1027,649,228.9680000000003,2811,4261,2948,881.7719999999989,BTC,10372.29,10365.56,10455.38,10251.96,240
14,1568505600,501,867,535,238.3683000000006,1827,3718,2275,1077.4001000000003,BTC,10365.56,10313.02,10401.53,10279.58,225
15,1568592000,574,1112,717,323.88580000000087,3026,5169,3240,1261.7850999999969,BTC,10313.02,10271.79,10411.06,10103.87,321
16,1568678400,863,1371,783,347.5353000000007,4949,6607,3396,1438.7300999999914,BTC,10271.79,10198.62,10297.99,10152.47,303
17,1568764800,887,1397,774,332.10930000000013,3751,6675,3606,1997.9172999999985,BTC,10198.62,10163.38,10272.19,10100.9,301
18,1568851200,1080,1929,1060,536.1831000000002,4871,8261,5283,2226.649799999998,BTC,10163.38,10281.03,10368.46,9641.11,322
19,1568937600,753,1368,803,381.5781,2917,5435,2945,1401.845800000001,BTC,10281.03,10176.38,10321.18,10065.55,281
20,1569024000,704,1133,665,274.3185000000002,2898,4970,2667,1316.9078999999988,BTC,10176.38,9988.38,10187.64,9944.61,202
21,1569110400,740,1306,889,345.3521,3078,5478,3741,1449.8075999999985,BTC,9988.38,10036.98,10096.66,9871.97,225
22,1569196800,842,1390,980,333.2525999999997,4070,6876,4397,1478.0993000000005,BTC,10036.98,9694.6,10073.79,9636.2,290
23,1569283200,1284,2026,1502,454.229999999999,6638,8901,6759,1651.7399999999993,BTC,9694.6,8542.54,9787.58,8107.01,459
24,1569369600,1076,1670,1167,403.1096999999997,4228,6795,5250,1783.221399999997,BTC,8542.54,8446.97,8752.2,8246.24,395
25,1569456000,963,1700,1046,456.6549999999987,4270,7427,5229,2188.1519999999928,BTC,8446.97,8074.99,8471.02,7753.71,357
26,1569542400,893,1408,937,359.73840000000064,3633,6067,3709,1579.9037999999969,BTC,8074.99,8201.36,8304.22,7888.5,366
27,1569628800,614,1157,638,372.92250000000087,2749,5504,2472,1820.7098999999955,BTC,8201.36,8223.65,8345.03,8044.45,193
28,1569715200,703,1246,622,343.9637000000003,3496,5925,2720,1265.5228999999947,BTC,8223.65,8065.26,8265.99,7943.33,219
29,1569801600,767,1364,882,361.50430000000097,3317,5857,3889,1567.433400000005,BTC,8065.26,8314.62,8372.24,7736.96,256
30,1569888000,765,1302,938,344.31300000000044,3069,5315,3540,1595.6876,BTC,8314.62,8326.64,8537.6,8212.01,261
31,1569974400,799,1444,908,408.54270000000014,3167,5564,3301,1465.1055000000056,BTC,8326.64,8391.52,8403.51,8186.3,251
32,1570060800,817,1349,1007,335.6493,4332,6256,4887,1434.6274999999987,BTC,8391.52,8246.3,8434.63,8105.02,270
33,1570147200,762,1414,860,399.58740000000006,3617,5827,3086,1412.2951000000005,BTC,8246.3,8168.05,8267.11,8021.3,259
34,1570233600,663,1086,642,273.3568000000004,3131,4401,3268,945.0674999999997,BTC,8168.05,8172.48,8232.25,8052.51,196
35,1570320000,573,1037,600,304.0834000000003,2387,4043,2262,1097.665299999999,BTC,8172.48,7868.31,8221.03,7822.65,187
36,1570406400,829,1371,788,360.07100000000037,3892,5868,3191,1220.1352999999915,BTC,7868.31,8215.11,8326.01,7798.09,292
37,1570492800,682,1055,643,256.34130000000016,3367,4542,3127,730.8524000000012,BTC,8215.11,8191.87,8354.19,8126.71,244
38,1570579200,766,1294,982,339.6262000000006,3725,5848,4615,1622.4993999999986,BTC,8191.87,8593.16,8697.56,8132.74,304
39,1570665600,528,1016,723,317.7339000000003,2139,4136,2814,1318.6624000000013,BTC,8593.16,8596.57,8672.58,8466.13,268
40,1570752000,700,1299,663,360.483,2683,5793,3167,1851.1735000000022,BTC,8596.57,8278.05,8834.11,8259.77,255
41,1570838400,536,998,609,292.4277999999999,1929,3822,2160,1183.7881000000011,BTC,8278.05,8316.66,8439.44,8272.12,185
42,1570924800,542,1048,542,317.06150000000036,2422,4782,1953,1427.5542999999975,BTC,8316.66,8296.34,8498.59,8194.16,157
43,1571011200,647,1120,738,300.79870000000017,2781,4782,3871,1296.2847999999958,BTC,8296.34,8363.94,8414.24,8228.06,225
44,1571097600,675,1191,793,331.0905999999995,2719,4364,3201,1182.9452999999985,BTC,8363.94,8173.48,8439.31,8116.92,312
45,1571184000,742,1237,850,321.7434000000005,2994,4771,3235,1052.2385999999983,BTC,8173.48,8014.39,8193.41,7945.77,317
46,1571270400,614,1090,700,311.26319999999987,2701,4009,2897,928.6967999999989,BTC,8014.39,8082.46,8145.5,7948.95,242
47,1571356800,740,1215,797,302.28960000000006,3762,4861,3161,607.3241999999981,BTC,8082.46,7972.62,8157.36,7850.66,291
48,1571443200,440,815,604,232.5682,3530,3072,3285,154.7746000000003,BTC,7972.62,7973.63,8108.69,7919.05,218
49,1571529600,531,964,633,278.59160000000014,2523,4603,3002,1421.9124999999995,BTC,7973.63,8247.25,8326.13,7911.49,184
50,1571616000,803,1122,777,200.79720000000054,3305,4871,3554,904.3928999999972,BTC,8247.25,8223.25,8359.52,8177.11,281
51,1571702400,679,1188,669,342.62810000000013,3079,4773,2629,1265.463600000003,BTC,8223.25,8034.5,8318.41,8021.36,286
52,1571788800,1236,1867,1284,387.3531,6477,8418,6176,1364.1865000000016,BTC,8034.5,7479.54,8071.8,7336.06,372
53,1571875200,1009,1821,1102,531.6327000000006,4348,6814,4136,1611.7061000000015,BTC,7479.54,7444.2,7524.31,7370.13,312
54,1571961600,1022,1786,1287,469.82979999999884,5130,8171,5851,2072.897599999996,BTC,7444.2,8671.1,8783.85,7431.2,369
55,1572048000,1123,1772,1606,408.87030000000067,5860,8351,7643,1687.822899999995,BTC,8671.1,9258.98,10380.48,8654.84,368
56,1572134400,726,1374,994,369.42980000000006,2697,5324,3520,1484.216700000006,BTC,9258.98,9550.6,9805.42,9114.58,262
57,1572220800,723,1416,809,431.10049999999984,2762,5373,3060,1579.5354999999938,BTC,9550.6,9222.23,9934.71,9201.49,294
58,1572307200,800,1419,847,407.6186999999998,3240,5689,3368,1641.0539000000033,BTC,9222.23,9432.86,9565.11,9099.36,301
59,1572393600,854,1503,1000,405.08309999999915,3646,5793,3629,1549.6918000000053,BTC,9432.86,9169.86,9441.8,9018.3,301
60,1572480000,722,1279,857,352.40130000000016,3064,4711,3602,1048.6843000000017,BTC,9169.86,9157.52,9423.16,8972.0,286
61,1572566400,595,1112,743,326.0619000000006,2512,4484,3432,1290.250499999998,BTC,9157.52,9260.59,9308.62,9072.62,278
62,1572652800,719,1215,774,316.22070000000014,2855,5055,3145,1437.827199999998,BTC,9260.59,9311.99,9400.44,9223.46,244
63,1572739200,525,1006,596,320.84560000000045,1888,4140,2185,1433.0592999999985,BTC,9311.99,9221.61,9396.1,9108.22,168
64,1572825600,803,1599,897,526.155099999999,4386,9029,3846,2788.8696999999884,BTC,9221.61,9421.54,9578.74,9141.0,313
65,1572912000,970,1638,897,435.06259999999946,4394,5971,3431,1065.1157999999964,BTC,9421.54,9323.61,9495.36,9196.64,300
66,1572998400,788,1455,834,418.7655999999997,3858,6286,3432,1369.5689999999965,BTC,9323.61,9347.27,9455.53,9269.82,291
67,1573084800,795,1394,773,371.16479999999984,3281,5784,3380,1581.6057999999914,BTC,9347.27,9208.52,9382.63,9114.14,258
68,1573171200,781,1382,853,347.06759999999963,3681,5831,3481,1476.1352000000015,BTC,9208.52,8772.31,9263.83,8682.74,273
69,1573257600,575,1056,678,294.2444000000001,2535,4863,3175,1456.1352999999986,BTC,8772.31,8822.19,8881.08,8732.62,204
70,1573344000,544,1040,600,287.06159999999943,2339,4876,2577,1561.3855000000033,BTC,8822.19,9045.85,9126.98,8767.94,198
71,1573430400,679,1324,711,391.9632999999997,2653,5276,2948,1680.9134000000006,BTC,9045.85,8726.31,9084.49,8619.78,305
72,1573516800,692,1323,759,387.3763000000001,2638,5482,3799,1766.8963999999978,BTC,8726.31,8815.14,8868.85,8576.09,284
73,1573603200,627,1246,716,385.4413999999997,3261,5015,2567,1321.7157999999965,BTC,8815.14,8773.82,8840.33,8721.68,295
74,1573689600,848,1496,828,402.3244999999996,3270,7351,3133,2584.8650999999923,BTC,8773.82,8640.42,8811.04,8584.92,280
75,1573776000,818,1434,874,393.80210000000005,3625,6232,3967,1707.9435999999946,BTC,8640.42,8468.57,8773.4,8393.29,348
76,1573862400,600,1016,719,263.51650000000075,2719,5006,3367,1382.3101999999988,BTC,8468.57,8498.94,8539.42,8442.03,253
77,1573948800,566,1112,691,344.32149999999945,2949,5529,2911,1482.442099999999,BTC,8498.94,8515.28,8641.12,8411.3,217
78,1574035200,658,1075,695,274.62600000000066,3444,4594,3146,883.6133999999995,BTC,8515.28,8190.16,8537.87,8075.63,255
79,1574121600,857,1469,878,393.0726999999997,4265,6644,4116,1476.1270000000006,BTC,8190.16,8133.57,8215.95,8016.54,310
80,1574208000,656,1271,676,371.6157999999992,3130,6122,2744,1812.1261999999995,BTC,8133.57,8093.6,8232.23,8047.73,294
