time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1568332800,59,123,79,65.25999999999999,-23.8742,41.33419999999997,234,564,397,309.93270000000007,-108.372,201.40590000000014,LTC,69.22,69.05,69.97,68.11,1
1568419200,29,37,45,18.5545,-13.3136,5.1893,135,135,150,73.73469999999998,-59.75140000000002,13.931699999999992,LTC,69.14,70.88,72.76,70.44,-1
1568505600,45,61,49,29.92859999999999,-18.639399999999995,11.2892,191,256,172,126.76399999999992,-79.85519999999995,46.90879999999999,LTC,70.88,70.13,71.74,69.77,1
1568592000,37,100,76,52.90399999999998,-14.6991,38.2627,145,526,294,262.6311,-66.69549999999998,196.0584,LTC,70.23,72.95,73.47,69.81,1
1568678400,90,189,192,89.37969999999999,-40.61190000000003,48.870999999999974,317,649,627,302.5829000000003,-137.70479999999998,165.18770000000015,LTC,72.95,74.29,76.91,71.99,1
1568764800,72,119,115,57.79989999999998,-28.893399999999996,28.95810000000001,266,488,435,255.7467000000001,-108.7731,147.12840000000003,LTC,74.29,78.03,80.26,73.78,-1
1568851200,68,113,95,49.5649,-30.86799999999999,18.748500000000018,287,409,277,166.87599999999995,-135.86020000000008,31.118999999999968,LTC,78.03,77.07,79.46,75.32,-1
1568937600,39,105,58,55.11250000000001,-16.397299999999994,38.870000000000026,171,398,199,206.9909,-72.0377,135.41759999999988,LTC,77.07,75.03,76.4,73.81,-1
1569024000,27,71,27,38.57529999999999,-17.063099999999995,21.5896,116,274,88,161.51499999999996,-82.09710000000003,79.65009999999998,LTC,74.95,73.39,74.66,71.78,-1
1569110400,26,53,38,27.9183,-11.6912,16.2256,93,197,127,109.96429999999992,-37.0071,72.95569999999994,LTC,73.21,72.26,73.65,71.32,-1
1569196800,131,148,133,70.31619999999995,-64.78070000000001,5.612900000000002,563,531,438,239.92279999999985,-292.2596000000001,-52.05300000000007,LTC,72.26,66.55,72.2,62.48,-1
1569283200,147,229,197,109.45609999999986,-65.72030000000002,43.720799999999954,683,876,866,419.14949999999993,-330.1794999999998,88.99819999999987,LTC,66.55,54.79,60.6,54.73,1
1569369600,97,145,93,83.01549999999997,-42.78140000000001,40.228499999999976,377,650,382,366.2827,-171.1801,194.78180000000003,LTC,54.79,57.55,58.75,54.08,-1
1569456000,99,169,139,90.49039999999997,-45.74699999999999,44.76180000000003,395,605,490,302.9190000000001,-173.50679999999997,129.81379999999993,LTC,57.55,55.24,55.64,52.43,1
1569542400,63,67,55,34.073699999999995,-31.0678,3.0059000000000062,255,325,241,170.60239999999996,-111.534,59.0684,LTC,55.24,56.02,56.79,55.01,-1
1569628800,27,50,34,23.3772,-11.8123,11.5133,85,271,123,124.9992,-42.039299999999976,82.85669999999995,LTC,56.02,55.54,56.41,55.14,-1
1569715200,32,60,49,29.815899999999992,-10.919699999999995,18.9612,117,277,165,139.5003,-37.3138,102.57449999999996,LTC,55.54,54.01,54.64,53.09,1
1569801600,68,100,42,53.74699999999999,-35.3603,18.33510000000001,240,437,154,228.73740000000006,-133.74380000000002,94.83880000000002,LTC,54.01,56.17,57.47,55.54,-1
1569888000,46,91,63,45.69499999999999,-21.7557,23.939300000000006,162,343,227,154.21669999999992,-76.17530000000002,78.04140000000002,LTC,56.17,55.82,57.18,55.11,1
1569974400,38,103,52,52.98949999999999,-19.6415,33.3867,158,349,165,201.80099999999993,-103.02840000000003,99.13379999999987,LTC,55.9,56.49,58.28,56.16,1
1570060800,27,60,46,31.84480000000001,-11.577899999999998,20.29270000000001,93,220,204,112.82579999999993,-39.36189999999999,73.56709999999998,LTC,56.49,56.55,57.21,54.95,-1
1570147200,38,60,50,29.741699999999994,-13.4012,16.3663,160,303,179,152.2906,-51.3976,100.94460000000008,LTC,56.55,56.54,57.58,56.0,1
1570233600,17,37,30,18.1478,-7.6858,10.487800000000004,58,156,80,79.54539999999997,-28.065200000000004,51.5318,LTC,56.54,57.03,57.98,56.4,-1
1570320000,17,43,35,25.142399999999995,-9.379,15.892400000000002,62,196,124,122.32789999999993,-32.3541,90.38660000000004,LTC,57.03,54.62,55.59,53.42,1
1570406400,51,61,46,32.30900000000001,-22.6952,9.665400000000004,252,244,155,138.8584,-128.1581999999999,10.803400000000039,LTC,54.62,57.73,58.4,56.38,-1
1570492800,39,45,50,18.594,-17.624699999999994,1.0307000000000008,174,140,159,53.65089999999999,-95.67219999999992,-41.5915,LTC,57.73,57.11,57.71,56.74,1
1570579200,79,95,75,43.98239999999997,-33.02879999999999,11.06150000000001,452,473,395,259.1296000000001,-179.7252000000001,79.87830000000002,LTC,57.11,59.31,60.96,58.69,-1
1570665600,73,78,60,42.7965,-32.62069999999998,10.124199999999991,242,249,160,146.29549999999992,-111.40649999999997,34.7342000000001,LTC,59.31,57.75,59.52,57.41,-1
1570752000,62,48,49,19.833500000000004,-25.8654,-6.076300000000002,228,205,172,95.22959999999992,-98.68719999999996,-3.5463999999999998,LTC,57.75,55.88,56.43,54.72,-1
1570838400,17,42,26,21.340199999999992,-9.9737,11.392300000000004,89,177,120,86.28069999999997,-55.199100000000016,31.223499999999976,LTC,55.95,55.41,56.12,54.37,1
1570924800,38,62,32,33.465,-19.5988,13.866200000000005,167,217,101,128.88479999999998,-91.57989999999994,37.30489999999999,LTC,55.41,56.42,57.1,55.43,1
1571011200,40,71,53,40.827999999999975,-16.5998,24.3374,152,243,191,145.03870000000003,-66.84400000000002,78.44969999999991,LTC,56.42,56.8,58.43,56.09,-1
1571097600,52,87,42,44.66239999999999,-28.299100000000006,16.363300000000002,171,351,114,199.63220000000004,-98.76449999999998,100.86769999999993,LTC,56.8,54.57,56.14,53.08,-1
1571184000,44,108,68,56.9339,-20.0406,36.86749999999999,158,433,227,241.10029999999983,-75.7473,165.3787999999999,LTC,54.75,52.56,54.25,51.78,1
1571270400,40,124,76,74.21769999999998,-15.978799999999993,58.13209999999997,167,584,253,380.38049999999964,-65.53260000000004,314.3618999999998,LTC,52.53,55.08,55.24,52.77,-1
1571356800,31,65,34,35.5119,-11.806499999999998,23.8573,105,266,103,150.8034,-35.9907,115.24449999999992,LTC,55.08,53.2,53.93,52.71,1
1571443200,23,31,23,15.4478,-10.823100000000002,4.6247,109,152,72,76.44200000000002,-46.36990000000001,30.07210000000001,LTC,53.2,54.04,54.49,52.45,1
1571529600,16,35,22,17.7164,-7.333000000000002,10.383400000000004,66,168,89,86.01579999999998,-33.96399999999999,52.05179999999999,LTC,54.04,55.02,55.53,54.12,1
1571616000,20,63,25,35.908199999999994,-8.920900000000003,26.9873,60,231,88,123.11399999999996,-28.948999999999995,94.16499999999996,LTC,55.02,55.05,55.57,51.41,-1
1571702400,17,68,39,33.35119999999999,-7.564400000000001,25.722200000000008,63,383,208,186.27440000000007,-30.8836,155.06780000000015,LTC,55.05,53.41,54.82,53.41,-1
1571788800,57,137,70,75.52399999999993,-23.050899999999995,52.38549999999997,269,747,255,439.9288999999997,-121.97279999999998,317.17829999999964,LTC,53.53,49.55,49.87,47.74,1
1571875200,36,63,56,36.5271,-15.6995,20.799800000000005,152,260,185,148.71000000000006,-67.4389,81.24129999999995,LTC,49.6,49.92,50.01,48.63,1
1571961600,66,145,79,75.58249999999994,-30.74779999999999,44.83470000000004,294,594,332,304.56200000000007,-142.3506000000001,162.21139999999986,LTC,49.73,57.03,60.07,56.9,-1
1572048000,77,114,83,54.60469999999996,-35.1068,19.497399999999995,375,566,406,273.8697999999998,-163.68819999999997,110.10370000000006,LTC,57.03,56.89,61.08,55.44,1
1572134400,31,72,62,38.5542,-16.268999999999995,22.2852,109,327,283,177.81439999999995,-67.18529999999998,110.62909999999994,LTC,56.89,59.93,61.47,57.28,-1
1572220800,44,64,54,32.81550000000001,-18.4283,14.387200000000002,141,201,246,102.41039999999994,-55.5947,46.81569999999998,LTC,59.93,57.86,59.04,56.31,1
1572307200,34,59,49,29.361,-18.557899999999997,10.8031,134,284,169,157.59389999999996,-80.44219999999997,77.15169999999998,LTC,57.86,59.91,60.55,59.13,-1
1572393600,44,67,46,34.73400000000001,-17.580899999999993,17.15309999999999,154,280,182,154.30299999999997,-65.4417,88.86129999999996,LTC,59.91,57.99,59.64,57.73,1
1572480000,29,47,26,24.8363,-12.4533,12.4346,162,224,150,118.07999999999996,-88.62129999999998,29.71670000000001,LTC,57.99,58.39,58.75,57.24,1
1572566400,29,48,27,22.283199999999994,-15.980600000000004,6.2768,115,143,111,67.8021,-65.27229999999996,2.4524000000000084,LTC,58.36,58.72,59.15,57.83,-1
1572652800,14,24,16,14.859999999999996,-5.7346,9.0738,48,98,66,59.58690000000002,-18.2524,41.1797,LTC,58.72,58.59,58.92,57.84,-1
1572739200,27,43,23,24.2013,-11.1073,13.094000000000005,96,175,107,100.5616,-40.57679999999999,59.98480000000003,LTC,58.59,58.31,58.67,57.07,1
1572825600,27,120,75,68.56489999999997,-11.400499999999996,57.1386,115,467,291,259.9661000000001,-45.90420000000002,214.0103000000001,LTC,58.31,61.43,62.46,59.66,1
1572912000,37,81,71,43.49689999999998,-15.2574,28.3135,184,324,254,168.34379999999996,-67.82899999999998,100.66279999999992,LTC,61.43,63.23,65.34,62.13,1
