Unnamed: 0,time,neg_ns,pos_ns,neutral_ns,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,submissions,label,n_news,avg_news_compound
26,1569542400,893,1408,937,359.73840000000064,3633,6067,3709,1579.9037999999966,BTC,8074.99,8201.36,8304.22,7888.5,366,1,3,0.1471066666666667
27,1569628800,614,1157,638,372.92250000000087,2749,5504,2472,1820.7098999999955,BTC,8201.36,8223.65,8345.03,8044.45,193,-1,8,0.15582055660774408
28,1569715200,703,1246,622,343.9637000000003,3496,5925,2720,1265.5228999999947,BTC,8223.65,8065.26,8265.99,7943.33,219,1,5,-0.09931544433497537
29,1569801600,767,1364,882,361.50430000000085,3317,5857,3889,1567.433400000005,BTC,8065.26,8314.62,8372.24,7736.96,256,1,7,0.21807533122020736
30,1569888000,765,1302,938,344.31300000000044,3069,5315,3540,1595.6876,BTC,8314.62,8326.64,8537.6,8212.01,261,1,4,0.03194081196581196
31,1569974400,799,1444,908,408.54270000000014,3167,5564,3301,1465.1055000000056,BTC,8326.64,8391.52,8403.51,8186.3,251,-1,10,0.09664279327731089
32,1570060800,817,1349,1007,335.6493,4332,6256,4887,1434.6274999999987,BTC,8391.52,8246.3,8434.63,8105.02,270,-1,7,-0.08519939822082681
33,1570147200,762,1414,860,399.58740000000006,3617,5827,3086,1412.2951000000005,BTC,8246.3,8168.05,8267.11,8021.3,259,1,3,-0.22129289405684757
34,1570233600,663,1086,642,273.3568000000004,3131,4401,3268,945.0674999999997,BTC,8168.05,8172.48,8232.25,8052.51,196,-1,3,-0.02520574074074074
35,1570320000,573,1037,600,304.0834000000003,2387,4043,2262,1097.665299999999,BTC,8172.48,7868.31,8221.03,7822.65,187,1,5,0.10642730713730715
36,1570406400,829,1371,788,360.07100000000037,3892,5868,3191,1220.1352999999915,BTC,7868.31,8215.11,8326.01,7798.09,292,-1,5,-0.017638888888888878
37,1570492800,682,1055,643,256.34130000000016,3367,4542,3127,730.8524000000012,BTC,8215.11,8191.87,8354.19,8126.71,244,1,9,0.21600957811194654
38,1570579200,766,1294,982,339.6262000000006,3725,5848,4615,1622.4993999999986,BTC,8191.87,8593.16,8697.56,8132.74,304,1,12,0.14784203312890812
39,1570665600,528,1016,723,317.7339000000003,2139,4136,2814,1318.6624000000013,BTC,8593.16,8596.57,8672.58,8466.13,268,-1,10,0.12142258333333333
40,1570752000,700,1299,663,360.483,2683,5793,3167,1851.1735000000024,BTC,8596.57,8278.05,8834.11,8259.77,255,1,9,0.05477308465608467
41,1570838400,536,998,609,292.4277999999999,1929,3822,2160,1183.7881000000011,BTC,8278.05,8316.66,8439.44,8272.12,185,-1,7,0.060640453731997834
42,1570924800,542,1048,542,317.06150000000036,2422,4782,1953,1427.5542999999975,BTC,8316.66,8296.34,8498.59,8194.16,157,1,7,0.29688039936664323
43,1571011200,647,1120,738,300.79870000000017,2781,4782,3871,1296.2847999999958,BTC,8296.34,8363.94,8414.24,8228.06,225,-1,8,0.013327930871212146
44,1571097600,675,1191,793,331.0905999999995,2719,4364,3201,1182.9452999999985,BTC,8363.94,8173.48,8439.31,8116.92,312,-1,6,0.16302611111111112
45,1571184000,742,1237,850,321.7434000000005,2994,4771,3235,1052.2385999999983,BTC,8173.48,8014.39,8193.41,7945.77,317,1,1,-0.05520000000000001
46,1571270400,614,1090,700,311.26319999999987,2701,4009,2897,928.6967999999988,BTC,8014.39,8082.46,8145.5,7948.95,242,-1,11,-0.047251071264593984
47,1571356800,740,1215,797,302.28960000000006,3762,4861,3161,607.3241999999981,BTC,8082.46,7972.62,8157.36,7850.66,291,1,10,-0.05318841466866471
48,1571443200,440,815,604,232.5682,3530,3072,3285,154.7746000000003,BTC,7972.62,7973.63,8108.69,7919.05,218,1,3,-0.06628364197530866
49,1571529600,531,964,633,278.59160000000014,2523,4603,3002,1421.9124999999995,BTC,7973.63,8247.25,8326.13,7911.49,184,-1,0,0.0
50,1571616000,803,1122,777,200.79720000000054,3305,4871,3554,904.3928999999972,BTC,8247.25,8223.25,8359.52,8177.11,281,-1,3,0.015111474850809875
51,1571702400,679,1188,669,342.62810000000013,3079,4773,2629,1265.463600000003,BTC,8223.25,8034.5,8318.41,8021.36,286,-1,9,0.2604937622254289
52,1571788800,1236,1867,1284,387.3531,6477,8418,6176,1364.1865000000016,BTC,8034.5,7479.54,8071.8,7336.06,372,-1,5,0.040676404761904775
53,1571875200,1009,1821,1102,531.6327000000006,4348,6814,4136,1611.7061000000015,BTC,7479.54,7444.2,7524.31,7370.13,312,1,3,0.09522461152882207
54,1571961600,1022,1786,1287,469.82979999999884,5130,8171,5851,2072.897599999996,BTC,7444.2,8671.1,8783.85,7431.2,369,1,12,0.043495593966218944
55,1572048000,1123,1772,1606,408.87030000000084,5860,8351,7643,1687.8228999999951,BTC,8671.1,9258.98,10380.48,8654.84,368,1,5,0.13450592572944298
56,1572134400,726,1374,994,369.42980000000006,2697,5324,3520,1484.216700000006,BTC,9258.98,9550.6,9805.42,9114.58,262,-1,7,0.0849017276514054
57,1572220800,723,1416,809,431.10049999999984,2762,5373,3060,1579.5354999999938,BTC,9550.6,9222.23,9934.71,9201.49,294,1,12,0.15881758705716587
58,1572307200,800,1419,847,407.6186999999998,3240,5689,3368,1641.0539000000033,BTC,9222.23,9432.86,9565.11,9099.36,301,-1,9,0.0901544825708061
