time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low
1567296000.0,21,37,39,21.579199999999997,-19.0012,86.67659999999998,-17.948999999999998,12.078599999999998,65,147,140,59.22699999999997,BTC,9624.54,9768.36,9823.53,9578.66
1567382400.0,39,86,84,45.919,-31.78199999999999,260.52100000000013,-46.3066,29.969200000000015,151,477,394,197.2755000000001,BTC,9768.36,10387.5,10459,9764.76
1573516800.0,30,51,28,23.753899999999994,-29.444999999999993,86.48519999999996,-47.4563,9.0314,126,191,133,24.306400000000004,BTC,8726.31,8815.14,8868.85,8576.09
1573948800.0,16,30,28,16.0966,-13.819199999999997,57.988100000000024,-5.9401,9.174099999999997,32,101,74,45.112600000000015,BTC,8498.94,8515.28,8641.12,8411.3
1567468800.0,37,102,71,54.14019999999996,-27.994799999999987,183.02740000000009,-35.4382,40.104099999999995,136,356,239,133.4369999999999,BTC,10387.5,10625.1,10773.27,10296.3
1568160000.0,52,71,51,39.17280000000001,-46.71079999999999,130.56299999999996,-52.83040000000002,15.817400000000003,179,240,152,54.35139999999996,BTC,10109.46,10165.01,10251.97,9874.13
1567555200.0,18,41,43,20.290599999999998,-15.785599999999997,94.31429999999995,-28.9188,12.3978,84,208,160,57.502699999999976,BTC,10625.1,10585.2,10827.14,10392.88
1568073600.0,20,72,62,40.4235,-16.364600000000003,142.6881999999999,-25.3629,32.20249999999999,95,265,213,109.0785,BTC,10314.88,10109.46,10395.1,9966.94
1567641600.0,17,60,43,31.944299999999995,-16.128000000000007,134.3248,-24.641500000000004,23.912799999999997,67,266,165,101.55730000000001,BTC,10585.2,10556.16,10659.6,10475.88
1567728000.0,42,91,87,45.03740000000001,-45.132999999999996,198.50550000000007,-77.716,22.508199999999995,172,376,410,98.22279999999995,BTC,10556.16,10309.91,10938.39,10228.17
1567814400.0,26,35,39,19.7075,-23.843400000000003,64.37320000000003,-21.430300000000003,7.764699999999998,76,112,102,30.936800000000005,BTC,10309.91,10491.96,10574.99,10304.22
1567900800.0,15,46,35,21.877700000000004,-15.6948,59.95109999999997,-22.6064,13.918999999999999,59,132,113,29.137600000000003,BTC,10491.96,10420.88,10595.71,10286.85
1568419200.0,7,24,12,12.1573,-5.850599999999999,68.6064,-7.8539,9.232,24,120,46,57.827199999999976,BTC,10372.29,10365.56,10455.38,10251.96
1567987200.0,33,52,46,29.4987,-28.295999999999996,99.18939999999998,-30.292399999999997,15.324900000000005,110,177,136,54.72319999999996,BTC,10420.88,10314.88,10514.59,10101.87
1568332800.0,35,58,39,32.6305,-36.491,114.64699999999998,-63.85440000000001,13.957999999999995,141,210,134,33.0187,BTC,10428.96,10372.29,10591.45,9855.34
1569283200.0,163,257,234,134.44609999999997,-150.63289999999998,513.0811000000001,-238.53690000000003,59.091299999999976,709,978,843,199.65579999999966,BTC,9694.6,8542.54,9787.58,8107.01
1568246400.0,29,56,57,25.84680000000001,-27.1132,123.08339999999987,-41.5066,12.325799999999997,114,265,270,67.94020000000002,BTC,10165.01,10428.96,10472.07,10057.09
1568505600.0,20,30,28,14.921099999999997,-19.484799999999993,59.16949999999999,-25.6007,5.2045,68,125,101,23.955399999999997,BTC,10365.56,10313.02,10401.53,10279.58
1568592000.0,11,23,21,11.594699999999998,-8.0532,35.65310000000001,-8.3223,7.568100000000001,33,68,58,23.304200000000005,BTC,10313.02,10271.79,10411.06,10103.87
1568678400.0,34,38,30,21.2527,-29.0798,85.00129999999997,-37.092,6.7386000000000035,107,146,102,33.39520000000002,BTC,10271.79,10198.62,10297.99,10152.47
1568764800.0,29,49,35,25.775599999999997,-24.1538,94.45509999999997,-39.97420000000001,13.7503,121,183,128,42.532999999999994,BTC,10198.62,10163.38,10272.19,10100.9
1569369600.0,80,128,124,64.15059999999998,-76.7014,256.6998,-130.0185,25.4654,354,530,452,88.9651999999999,BTC,8542.54,8446.97,8752.2,8246.24
1568851200.0,55,103,99,49.84449999999998,-50.535000000000004,216.0933,-75.3835,24.555400000000002,214,436,395,115.15590000000006,BTC,10163.38,10281.03,10368.46,9641.11
1568937600.0,18,35,38,18.1239,-16.582,76.2711,-18.057800000000004,9.8587,55,129,193,49.973899999999986,BTC,10281.03,10176.38,10321.18,10065.55
1569024000.0,42,58,39,28.835,-37.8146,84.51579999999993,-31.041599999999995,10.002500000000003,106,160,84,34.817099999999996,BTC,10176.38,9988.38,10187.64,9944.61
1569110400.0,38,59,47,29.43100000000001,-32.4606,100.70449999999997,-37.103300000000004,13.2007,121,207,176,47.37089999999998,BTC,9988.38,10036.98,10096.66,9871.97
1569196800.0,23,77,56,39.18860000000001,-22.9341,185.54320000000004,-52.2678,27.484000000000012,117,357,184,121.89950000000002,BTC,10036.98,9694.6,10073.79,9636.2
1569456000.0,54,75,87,40.1463,-42.13780000000002,161.61,-75.9248,19.112499999999997,246,305,379,65.07709999999999,BTC,8446.97,8074.99,8471.02,7753.71
1569542400.0,69,90,74,48.55499999999999,-71.67319999999997,150.3541999999999,-104.3858,12.776399999999999,264,287,239,10.35100000000001,BTC,8074.99,8201.36,8304.22,7888.5
1569628800.0,12,40,27,21.751299999999993,-11.661799999999998,126.92410000000002,-14.885499999999999,15.920400000000003,45,224,130,106.20770000000005,BTC,8201.36,8223.65,8345.03,8044.45
1570060800.0,21,53,46,27.865200000000005,-17.260599999999997,102.76779999999994,-30.946800000000003,19.2109,88,187,138,63.01189999999999,BTC,8391.52,8246.3,8434.63,8105.02
1569801600.0,37,83,69,40.65049999999998,-35.1828,205.53449999999984,-54.7321,23.011099999999995,141,401,296,133.04609999999997,BTC,8065.26,8314.62,8372.24,7736.96
1569715200.0,18,54,36,28.603299999999994,-14.968500000000002,114.24029999999995,-23.292499999999997,20.856099999999998,83,229,134,83.58930000000001,BTC,8223.65,8065.26,8265.99,7943.33
1569888000.0,25,46,59,25.386999999999997,-23.092000000000006,108.19449999999995,-58.6873,13.870499999999998,143,179,234,38.31339999999997,BTC,8314.62,8326.64,8537.6,8212.01
1569974400.0,26,47,53,24.746300000000005,-25.01439999999999,76.39889999999997,-28.981199999999994,12.239199999999999,92,136,206,34.91110000000002,BTC,8326.64,8391.52,8403.51,8186.3
1570147200.0,20,46,32,22.2757,-18.546100000000006,96.90289999999996,-21.037600000000005,12.6131,72,191,109,66.98179999999999,BTC,8246.3,8168.05,8267.11,8021.3
1570233600.0,13,28,26,14.2723,-10.6676,70.9476,-23.085400000000003,8.8659,54,140,110,42.7816,BTC,8168.05,8172.48,8232.25,8052.51
1570320000.0,14,24,22,15.6615,-14.8724,47.574899999999985,-27.726399999999995,8.225299999999997,70,74,77,12.412299999999995,BTC,8172.48,7868.31,8221.03,7822.65
1570406400.0,32,37,44,18.4967,-32.91979999999999,79.89270000000003,-66.80219999999998,1.1692000000000007,148,160,171,-2.5017999999999994,BTC,7868.31,8215.11,8326.01,7798.09
1570492800.0,22,24,34,11.5015,-20.941000000000003,70.77909999999999,-40.6063,1.0309999999999997,103,138,110,19.7023,BTC,8215.11,8191.87,8354.19,8126.71
1570579200.0,55,79,86,41.003499999999995,-46.47560000000001,145.38340000000002,-60.62040000000002,17.844900000000013,201,291,277,61.63019999999997,BTC,8191.87,8593.16,8697.56,8132.74
1570665600.0,27,55,37,28.603799999999993,-26.684000000000008,118.28939999999994,-44.3835,15.311900000000003,104,205,114,60.65959999999999,BTC,8593.16,8596.57,8672.58,8466.13
1570752000.0,28,38,36,19.976399999999998,-27.730800000000002,74.61239999999995,-44.42400000000001,6.161800000000001,110,145,130,16.579400000000007,BTC,8596.57,8278.05,8834.11,8259.77
1570924800.0,19,44,15,22.76780000000001,-17.454600000000003,61.683799999999984,-20.0969,13.993599999999997,65,119,41,32.8127,BTC,8316.66,8296.34,8498.59,8194.16
1571011200.0,8,26,15,14.6889,-8.1916,36.57049999999999,-4.511,10.5931,16,73,57,27.9637,BTC,8296.34,8363.94,8414.24,8228.06
1570838400.0,28,37,27,20.0379,-27.26599999999999,77.77459999999998,-49.38479999999998,6.415100000000002,110,140,97,14.699800000000002,BTC,8278.05,8316.66,8439.44,8272.12
1572393600.0,32,72,59,34.3211,-26.3366,128.6777,-44.886199999999995,21.2207,128,269,239,71.00119999999998,BTC,9432.86,9169.86,9441.8,9018.3
1571097600.0,13,27,29,12.9947,-10.082,52.55609999999998,-29.516699999999997,7.953700000000004,79,103,115,17.99840000000001,BTC,8363.94,8173.48,8439.31,8116.92
