time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s, neu_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1567382400.0,30,37,44,17.226200000000006,-30.53860000000001,77.12919999999995,-40.44160000000001,2.0213999999999994,109,154,188,21.585999999999984,LTC,66.12,67.22,70.63,66.8,1,1,0.30935
1567468800.0,39,36,25,18.2479,-33.720399999999984,62.59019999999996,-32.8169,1.3618999999999992,114,111,109,12.732500000000007,LTC,67.22,69.07,70.82,68.27,-1,0,0.0
1567555200.0,38,40,41,21.631999999999994,-41.75999999999996,87.33659999999998,-71.69479999999999,0.7953000000000011,168,159,165,-5.108299999999994,LTC,69.07,67.18,69.31,66.67,-1,1,0.64425
1567641600.0,19,29,31,15.0104,-18.796600000000005,63.73869999999998,-24.3605,5.5863,80,121,187,29.82510000000001,LTC,67.18,65.15,67.43,64.35,-1,0,0.0
1567728000.0,114,143,148,66.41049999999996,-101.67459999999984,273.90200000000027,-172.98569999999995,15.564900000000005,499,573,575,50.12230000000004,LTC,65.15,64.88,65.36,63.38,1,1,-0.25393333333333334
1568073600.0,19,36,22,16.856499999999997,-17.936999999999994,98.34469999999992,-26.5513,7.888000000000003,74,198,90,62.82489999999998,LTC,69.96,70.85,71.6,68.53,-1,0,0.0
1568160000.0,17,24,28,12.4816,-13.598799999999995,38.1489,-23.3269,5.6816999999999975,74,78,114,8.022100000000002,LTC,70.85,69.94,71.94,69.15,-1,1,-0.2294
1568246400.0,18,40,25,19.041500000000006,-18.947399999999995,91.35809999999994,-21.5783,9.5936,52,187,92,60.38349999999999,LTC,69.94,69.22,71.88,69.1,-1,0,0.0
1568332800.0,20,21,20,11.8698,-21.488599999999995,59.5151,-43.7159,1.1255,92,96,92,5.054900000000004,LTC,69.22,69.05,69.97,68.11,1,0,0.0
1568419200.0,16,13,21,6.2784,-13.853200000000005,27.0653,-29.032,-0.6481999999999997,74,53,68,-8.8933,LTC,69.14,70.88,72.76,70.44,-1,0,0.0
1568505600.0,21,17,21,7.5918,-18.715,27.62530000000001,-34.1594,-1.7657,104,68,101,-15.891600000000011,LTC,70.88,70.13,71.74,69.77,1,0,0.0
1568592000.0,8,28,24,14.2748,-6.080000000000001,66.80209999999998,-9.0992,11.2606,32,136,129,54.74029999999998,LTC,70.23,72.95,73.47,69.81,1,1,-0.1866
1568678400.0,50,78,99,34.798,-45.97389999999999,115.70339999999992,-55.44250000000002,11.573399999999998,177,249,340,37.6385,LTC,72.95,74.29,76.91,71.99,1,0,0.0
1568764800.0,39,56,58,25.9857,-33.84940000000001,102.01660000000004,-61.0277,9.1126,171,208,205,24.193200000000004,LTC,74.29,78.03,80.26,73.78,-1,0,0.0
1568851200.0,32,32,35,12.1963,-29.868999999999986,42.0774,-57.8288,-2.7124,147,105,117,-30.63430000000001,LTC,78.03,77.07,79.46,75.32,-1,0,0.0
1568937600.0,18,29,30,15.654999999999998,-14.838599999999996,58.3659,-18.9308,8.2744,67,110,119,32.1319,LTC,77.07,75.03,76.4,73.81,-1,0,0.0
1569024000.0,15,33,9,16.8512,-17.249200000000002,63.00009999999999,-23.6672,8.2266,52,119,38,30.70830000000002,LTC,74.95,73.39,74.66,71.78,-1,0,0.0
1569110400.0,7,9,16,4.4506,-8.6488,21.7099,-15.5445,0.12619999999999998,29,43,67,1.8410000000000009,LTC,73.21,72.26,73.65,71.32,-1,0,0.0
1569196800.0,67,58,66,27.886800000000004,-69.93979999999998,75.66669999999995,-93.1418,-7.083100000000001,242,166,198,-52.41920000000004,LTC,72.26,66.55,72.2,62.48,-1,0,0.0
1569283200.0,69,73,70,34.0416,-62.54200000000001,142.73349999999988,-123.27320000000002,2.7395999999999985,334,289,299,-11.841899999999988,LTC,66.55,54.79,60.6,54.73,1,0,0.0
1569369600.0,38,49,36,28.88129999999999,-35.9834,134.10869999999997,-59.69200000000002,10.863800000000005,155,237,139,56.21859999999998,LTC,54.79,57.55,58.75,54.08,-1,1,-0.613
