time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label
1569283200.0,55,79,72,43.58389999999999,-45.986799999999974,220.31440000000003,-83.96700000000001,20.453900000000008,272,406,396,113.30999999999992,XRP,0.2675,0.23399999999999999,0.2727,0.2188,1
1569369600.0,49,70,31,37.38780000000001,-42.21700000000001,172.54620000000003,-57.82740000000001,16.25350000000001,212,320,175,93.4039,XRP,0.23399999999999999,0.2463,0.25,0.2322,-1
1569456000.0,31,71,38,36.93149999999999,-28.6344,112.54359999999996,-42.5681,22.66869999999999,117,241,132,56.05030000000001,XRP,0.2463,0.2424,0.2501,0.2287,1
1569542400.0,22,39,17,23.9606,-16.612599999999993,157.40409999999994,-17.290600000000005,15.495200000000004,62,225,45,131.96629999999996,XRP,0.2424,0.2429,0.2477,0.2335,-1
1569628800.0,28,45,17,23.797400000000003,-26.045799999999982,68.64179999999998,-36.65490000000001,10.736100000000004,116,140,86,18.695200000000007,XRP,0.2429,0.2426,0.2452,0.2387,-1
1569715200.0,20,52,33,28.7951,-19.9554,140.85389999999995,-47.62310000000002,18.8107,111,258,183,83.26499999999996,XRP,0.2426,0.2408,0.2429,0.2351,1
1569801600.0,19,57,42,31.90789999999999,-11.692399999999996,152.58319999999995,-20.884099999999997,26.04519999999999,94,272,168,125.73319999999993,XRP,0.2408,0.2573,0.2621,0.2359,-1
1569888000.0,16,33,32,17.4614,-12.519199999999998,86.25609999999998,-18.6445,11.201800000000002,79,157,155,61.35200000000001,XRP,0.2573,0.2486,0.2615,0.2454,1
1569974400.0,20,40,16,20.9459,-19.6316,90.97559999999996,-19.7616,11.130100000000002,69,172,56,61.398199999999974,XRP,0.2486,0.2535,0.2552,0.2451,-1
1570060800.0,20,21,30,10.7372,-18.3864,42.6845,-25.035100000000003,1.2302999999999995,73,79,156,8.767499999999998,XRP,0.2535,0.2474,0.2541,0.2424,1
1570147200.0,10,56,28,31.79650000000001,-9.0162,126.73229999999992,-14.3119,27.31680000000001,40,247,84,107.94329999999992,XRP,0.2474,0.2534,0.2572,0.2453,1
1570233600.0,9,33,19,18.4661,-9.723599999999998,120.23079999999996,-17.1406,13.624399999999998,42,195,120,98.32889999999992,XRP,0.2534,0.2543,0.2571,0.2468,1
1570320000.0,9,20,11,11.7798,-8.106200000000001,80.7124,-12.677499999999998,7.7267,52,134,37,63.98179999999999,XRP,0.2543,0.2556,0.257,0.2518,1
