time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1546300800.0,26,68,30,38.6792,-21.6174,116.38590000000002,-21.911700000000003,27.8781,78,209,105,83.77190000000002,BTC,3747.39,3880.15,3938.75,3696.94,1,5,-0.059852166666666665
1546387200.0,13,25,17,14.627399999999998,-11.299600000000005,55.22179999999998,-13.9062,8.9343,44,94,72,35.319400000000016,BTC,3880.15,3961.01,3989.59,3826.29,-1,6,-0.11322759259259259
1546473600.0,15,45,25,27.9109,-16.153999999999996,117.97069999999994,-26.7261,19.7925,51,192,90,83.07299999999998,BTC,3961.01,3835.86,3965.52,3778.76,1,5,0.13907958297258297
1546560000.0,17,38,20,19.602799999999995,-16.9252,64.64029999999997,-20.250200000000003,11.0749,69,126,65,35.68079999999997,BTC,3835.86,3874.06,3901.65,3783.88,-1,2,0.1497357142857143
1546646400.0,15,24,23,13.3754,-11.264599999999998,30.56130000000001,-6.7399,7.772699999999999,31,53,51,18.218700000000005,BTC,3874.06,3855.39,3926.92,3841.13,1,2,-0.23300844155844153
1546732800.0,35,61,46,33.1648,-31.8684,102.11149999999996,-39.8124,17.2538,127,180,134,46.3623,BTC,3855.39,4102.85,4145.16,3829.09,-1,2,-0.4745492592592593
1546819200.0,21,36,22,19.561499999999995,-17.921599999999994,61.25099999999998,-25.520299999999995,10.618299999999998,76,105,67,26.9635,BTC,4102.85,4050.4,4132.62,4001.35,-1,9,0.06625500474833812
1546905600.0,34,56,48,30.9037,-32.6404,97.43259999999998,-35.0459,14.3141,113,178,148,46.77159999999997,BTC,4050.4,4040.75,4156.16,3990.34,1,7,0.019800102040816312
1546992000.0,17,27,21,15.2494,-14.629199999999996,75.75459999999995,-21.70160000000001,7.909000000000002,70,127,81,46.661,BTC,4040.75,4048.34,4092.91,4013.0,-1,5,0.11214307936507935
1547078400.0,82,131,90,68.97639999999997,-70.5255999999999,208.78630000000013,-121.3417,33.70889999999999,351,418,402,52.0279,BTC,4048.34,3668.15,4085.09,3631.07,1,4,-0.2132885416666666
1547164800.0,27,48,34,25.852100000000004,-25.70620000000001,128.09339999999992,-28.6122,12.979600000000005,95,245,111,86.56809999999999,BTC,3668.15,3669.2,3729.69,3616.41,-1,1,-0.13508333333333333
1547251200.0,41,57,30,34.1711,-46.53479999999999,102.14179999999998,-33.8658,10.903699999999995,103,161,81,45.0086,BTC,3669.2,3664.38,3692.12,3611.2,-1,3,0.010752444444444445
1547337600.0,48,66,42,36.18479999999997,-46.88139999999999,128.61079999999993,-40.21100000000001,12.748499999999995,136,218,134,64.94650000000007,BTC,3664.38,3551.24,3675.2,3528.24,1,2,-0.3199446759259259
1547424000.0,42,93,63,52.87610000000001,-38.309199999999976,188.03410000000005,-42.463,33.72910000000002,140,332,218,126.42289999999994,BTC,3551.24,3703.9,3748.88,3544.53,-1,9,-0.010663783068783078
1547510400.0,14,38,33,20.315999999999995,-11.6596,67.33799999999998,-19.3629,14.512,54,126,98,42.19689999999999,BTC,3703.9,3621.24,3724.3,3590.49,1,3,0.1742664886039886
1547596800.0,27,58,39,31.72140000000001,-21.911200000000004,95.4675999999999,-23.890300000000003,20.7935,86,174,113,60.68920000000002,BTC,3621.24,3643.99,3704.37,3611.38,1,3,-0.16924444444444442
1547683200.0,24,44,38,23.22890000000001,-20.0808,78.726,-16.9765,13.1668,62,133,92,51.69150000000001,BTC,3643.99,3685.3,3695.28,3586.92,-1,2,0.05487666666666666
1547769600.0,11,19,26,9.773400000000002,-12.116199999999996,33.464099999999995,-6.8446000000000025,3.7153,23,70,72,20.56139999999999,BTC,3685.3,3648.05,3685.39,3620.44,1,3,0.13316468253968253
1547856000.0,21,29,33,14.1424,-19.426,56.3549,-21.3945,4.4294,65,119,125,25.247399999999978,BTC,3648.05,3729.78,3799.62,3643.01,-1,2,-0.15048285714285714
1547942400.0,28,30,43,17.702299999999994,-25.8726,58.85249999999999,-18.523300000000006,4.770599999999996,74,101,131,27.4331,BTC,3729.78,3567.73,3754.65,3529.25,1,5,0.10606497101449278
1548028800.0,38,55,45,27.714,-39.50460000000001,92.50229999999998,-50.7583,8.0231,127,188,156,22.1599,BTC,3567.73,3571.92,3599.83,3535.19,1,7,0.027948707482993194
1548115200.0,10,42,29,22.6213,-9.103,61.35500000000002,-8.4302,18.069800000000004,28,113,82,48.37330000000002,BTC,3571.92,3602.04,3635.69,3473.77,-1,3,-0.1232467261904762
