time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1551916800.0,15,22,16,12.251,-12.7848,62.90399999999998,-39.1494,5.8586,83,92,52,17.3622,XRP,0.3188,0.3141,0.3211,0.3139,-1,3,0.2316165404040404
1552003200.0,29,45,44,23.3729,-27.2518,64.66759999999998,-15.0188,9.747,79,116,135,36.02290000000001,XRP,0.3141,0.3095,0.3167,0.3056,1,1,-0.1294714285714286
1552089600.0,17,41,21,21.4878,-15.672800000000002,138.75000000000003,-40.842,13.6581,99,257,111,90.021,XRP,0.3095,0.3151,0.3196,0.3085,-1,1,0.3834285714285714
1552176000.0,12,28,21,12.2618,-10.4238,61.12670000000001,-35.81639999999999,7.024099999999999,112,119,75,20.046799999999987,XRP,0.3151,0.3143,0.3188,0.3104,-1,1,0.17663333333333334
1552262400.0,21,49,22,28.1077,-16.785399999999992,96.6614,-40.0661,18.8221,84,168,65,49.37929999999998,XRP,0.3143,0.312,0.3155,0.3092,-1,2,0.07072803030303026
1552348800.0,25,45,53,26.261500000000005,-20.87039999999999,90.76319999999996,-43.3539,15.8005,144,153,125,36.94830000000001,XRP,0.312,0.3108,0.3126,0.3073,1,3,0.4110972222222222
1552435200.0,23,32,49,14.964300000000005,-19.230799999999995,46.7705,-13.987,5.3633000000000015,67,88,127,23.159700000000008,XRP,0.3108,0.3161,0.3269,0.3084,-1,1,0.14714000000000002
1552521600.0,26,48,39,26.8495,-25.4358,125.92459999999996,-69.0775,14.106499999999995,160,222,132,44.1041,XRP,0.3161,0.3136,0.3186,0.3009,1,1,0.05031000000000002
1552608000.0,18,48,21,27.612000000000005,-14.078600000000002,108.21609999999994,-20.909,20.5727,77,167,85,80.26780000000005,XRP,0.3136,0.3165,0.3184,0.3126,1,1,0.13516666666666666
1552694400.0,14,31,35,16.641000000000002,-11.183599999999995,83.22639999999998,-26.3178,11.098999999999995,70,139,109,51.3666,XRP,0.3165,0.3206,0.3238,0.316,-1,1,0.5122857142857142
1552780800.0,27,68,47,36.5577,-28.351999999999997,127.03529999999996,-135.6006,22.391,219,230,153,-22.577200000000033,XRP,0.3206,0.3174,0.3208,0.3165,-1,1,0.30142857142857143
1552867200.0,18,39,35,23.05659999999999,-16.3538,95.01779999999997,-50.8603,14.8797,116,151,107,35.9806,XRP,0.3174,0.3167,0.3213,0.3143,1,1,0.24678000000000005
1552953600.0,23,37,23,18.267700000000005,-20.872699999999995,60.01450000000001,-44.7072,7.070299999999999,97,102,44,5.713000000000003,XRP,0.3167,0.3169,0.3172,0.3134,1,2,0.2748598214285714
1553040000.0,26,49,32,25.5284,-20.8682,74.80209999999997,-53.93150000000001,14.859100000000007,106,139,95,10.667500000000004,XRP,0.3169,0.3197,0.3233,0.3127,-1,1,0.11229999999999997
1553126400.0,19,42,30,21.8373,-16.1006,91.43409999999996,-45.0759,13.812799999999998,109,169,119,38.3337,XRP,0.3197,0.3112,0.321,0.3049,1,1,0.099175
1553212800.0,19,36,19,23.13250000000001,-17.065699999999996,116.42359999999998,-47.22749999999999,13.7765,109,163,60,61.4864,XRP,0.3112,0.3113,0.3135,0.3083,1,1,0.12877499999999995
1553299200.0,16,34,14,18.2428,-12.8742,56.3999,-18.6104,11.0553,67,92,38,32.25159999999999,XRP,0.3113,0.3117,0.313,0.3099,-1,1,0.21806666666666666
1553385600.0,11,24,16,11.9584,-11.684799999999996,50.93939999999999,-40.4874,6.1503,70,121,58,4.746799999999995,XRP,0.3117,0.3085,0.3119,0.3052,-1,1,-0.08025555555555552
1553472000.0,31,53,32,27.5758,-32.20900000000001,102.3507,-37.9151,11.471300000000005,99,190,98,48.33109999999997,XRP,0.3085,0.3024,0.3087,0.2998,1,1,0.0006416666666666654
1553558400.0,28,71,30,34.0805,-26.7206,180.76160000000007,-82.23530000000005,20.694400000000012,186,385,172,85.14019999999994,XRP,0.3024,0.3028,0.3031,0.2882,1,2,0.3802136363636364
1553644800.0,23,51,30,28.086399999999994,-22.0728,80.24459999999995,-32.4225,17.049999999999994,87,171,77,36.68249999999999,XRP,0.3028,0.3111,0.3121,0.3003,-1,2,0.2965920454545454
1553731200.0,21,33,29,13.3168,-17.488,47.45439999999998,-16.601499999999998,4.572799999999999,58,115,92,22.10890000000001,XRP,0.3111,0.3072,0.3112,0.3056,1,1,0.1618375
1553817600.0,16,36,22,17.474400000000006,-14.395799999999996,86.30329999999992,-33.0256,10.2435,72,188,83,46.0138,XRP,0.3072,0.3096,0.3113,0.3057,1,4,0.1579323717948718
